"","place","x","y","time_min","area_normal","bldgs_normal","area_stopgo","bldgs_stopgo","total_normal","total_stopgo","rate_normal_km2hr","rate_stopgo_km2hr"
"1","Estes Park, Colorado",-105.521537699246,40.3699720174831,0,0,0,0,0,48,434,41.3851889833382,4.57716375852588
"2","Estes Park, Colorado",-105.521537699246,40.3699720174831,10,3.02242865920691,658,0.0779422863405794,12,48,434,41.3851889833382,4.57716375852588
"3","Estes Park, Colorado",-105.521537699246,40.3699720174831,20,25.7382750004669,7181,0.225166604983896,37,48,434,41.3851889833382,4.57716375852588
"4","Estes Park, Colorado",-105.521537699246,40.3699720174831,30,32.7790615332326,8808,0.433012701892108,83,48,434,41.3851889833382,4.57716375852588
"5","Estes Park, Colorado",-105.521537699246,40.3699720174831,40,33.0908306785949,8862,0.614878036686793,122,48,434,41.3851889833382,4.57716375852588
"6","Estes Park, Colorado",-105.521537699246,40.3699720174831,50,33.1081511866706,8868,1.06521124665458,205,48,434,41.3851889833382,4.57716375852588
"7","Estes Park, Colorado",-105.521537699246,40.3699720174831,60,33.1081511866706,8868,1.25573683548711,246,48,434,41.3851889833382,4.57716375852588
"8","Estes Park, Colorado",-105.521537699246,40.3699720174831,70,33.1081511866706,8868,1.4376021702818,278,48,434,41.3851889833382,4.57716375852588
"9","Estes Park, Colorado",-105.521537699246,40.3699720174831,80,33.1081511866706,8868,1.6021469970008,301,48,434,41.3851889833382,4.57716375852588
"10","Estes Park, Colorado",-105.521537699246,40.3699720174831,90,33.1081511866706,8868,1.69740979141706,315,48,434,41.3851889833382,4.57716375852588
"11","Estes Park, Colorado",-105.521537699246,40.3699720174831,100,33.1081511866706,8868,1.80999309390901,332,48,434,41.3851889833382,4.57716375852588
"12","Estes Park, Colorado",-105.521537699246,40.3699720174831,110,33.1081511866706,8868,1.91391614236312,351,48,434,41.3851889833382,4.57716375852588
"13","Estes Park, Colorado",-105.521537699246,40.3699720174831,120,33.1081511866706,8868,2.00917893677938,369,48,434,41.3851889833382,4.57716375852588
"14","Estes Park, Colorado",-105.521537699246,40.3699720174831,130,33.1081511866706,8868,2.14774300138485,395,48,434,41.3851889833382,4.57716375852588
"15","Estes Park, Colorado",-105.521537699246,40.3699720174831,140,33.1081511866706,8868,2.33826859021738,440,48,434,41.3851889833382,4.57716375852588
"16","Estes Park, Colorado",-105.521537699246,40.3699720174831,150,33.1081511866706,8868,2.57209544923912,500,48,434,41.3851889833382,4.57716375852588
"17","Estes Park, Colorado",-105.521537699246,40.3699720174831,160,33.1081511866706,8868,2.8145825622987,543,48,434,41.3851889833382,4.57716375852588
"18","Estes Park, Colorado",-105.521537699246,40.3699720174831,170,33.1081511866706,8868,3.21295424803944,637,48,434,41.3851889833382,4.57716375852588
"19","Estes Park, Colorado",-105.521537699246,40.3699720174831,180,33.1081511866706,8868,3.90577457106681,820,48,434,41.3851889833382,4.57716375852588
"20","Estes Park, Colorado",-105.521537699246,40.3699720174831,190,33.1081511866706,8868,4.78046022888887,1024,48,434,41.3851889833382,4.57716375852588
"21","Estes Park, Colorado",-105.521537699246,40.3699720174831,200,33.1081511866706,8868,6.05351757245167,1300,48,434,41.3851889833382,4.57716375852588
"22","Estes Park, Colorado",-105.521537699246,40.3699720174831,210,33.1081511866706,8868,7.34389542409015,1630,48,434,41.3851889833382,4.57716375852588
"23","Estes Park, Colorado",-105.521537699246,40.3699720174831,220,33.1081511866706,8868,9.46565766336147,2100,48,434,41.3851889833382,4.57716375852588
"24","Estes Park, Colorado",-105.521537699246,40.3699720174831,230,33.1081511866706,8868,12.2022979393196,2804,48,434,41.3851889833382,4.57716375852588
"25","Estes Park, Colorado",-105.521537699246,40.3699720174831,240,33.1081511866706,8868,15.1814253283373,3729,48,434,41.3851889833382,4.57716375852588
"26","Estes Park, Colorado",-105.521537699246,40.3699720174831,250,33.1081511866706,8868,18.706148721739,4952,48,434,41.3851889833382,4.57716375852588
"27","Estes Park, Colorado",-105.521537699246,40.3699720174831,260,33.1081511866706,8868,22.2395323691787,6108,48,434,41.3851889833382,4.57716375852588
"28","Estes Park, Colorado",-105.521537699246,40.3699720174831,270,33.1081511866706,8868,25.0367944234017,6959,48,434,41.3851889833382,4.57716375852588
"29","Estes Park, Colorado",-105.521537699246,40.3699720174831,280,33.1081511866706,8868,26.9507105657648,7381,48,434,41.3851889833382,4.57716375852588
"30","Estes Park, Colorado",-105.521537699246,40.3699720174831,290,33.1081511866706,8868,27.9033385099274,7584,48,434,41.3851889833382,4.57716375852588
"31","Estes Park, Colorado",-105.521537699246,40.3699720174831,300,33.1081511866706,8868,28.4142934981601,7706,48,434,41.3851889833382,4.57716375852588
"32","Estes Park, Colorado",-105.521537699246,40.3699720174831,310,33.1081511866706,8868,28.8299856919765,7826,48,434,41.3851889833382,4.57716375852588
"33","Estes Park, Colorado",-105.521537699246,40.3699720174831,320,33.1081511866706,8868,29.5228060150039,7970,48,434,41.3851889833382,4.57716375852588
"34","Estes Park, Colorado",-105.521537699246,40.3699720174831,330,33.1081511866706,8868,30.1290237976529,8104,48,434,41.3851889833382,4.57716375852588
"35","Estes Park, Colorado",-105.521537699246,40.3699720174831,340,33.1081511866706,8868,30.9950492014371,8334,48,434,41.3851889833382,4.57716375852588
"36","Estes Park, Colorado",-105.521537699246,40.3699720174831,350,33.1081511866706,8868,31.9043758754105,8572,48,434,41.3851889833382,4.57716375852588
"37","Estes Park, Colorado",-105.521537699246,40.3699720174831,360,33.1081511866706,8868,32.5798756903622,8753,48,434,41.3851889833382,4.57716375852588
"38","Estes Park, Colorado",-105.521537699246,40.3699720174831,370,33.1081511866706,8868,32.7357602630433,8784,48,434,41.3851889833382,4.57716375852588
"39","Estes Park, Colorado",-105.521537699246,40.3699720174831,380,33.1081511866706,8868,32.8483435655353,8810,48,434,41.3851889833382,4.57716375852588
"40","Estes Park, Colorado",-105.521537699246,40.3699720174831,390,33.1081511866706,8868,32.9609268680272,8835,48,434,41.3851889833382,4.57716375852588
"41","Estes Park, Colorado",-105.521537699246,40.3699720174831,400,33.1081511866706,8868,32.9955678841786,8844,48,434,41.3851889833382,4.57716375852588
"42","Estes Park, Colorado",-105.521537699246,40.3699720174831,410,33.1081511866706,8868,33.0561896624435,8858,48,434,41.3851889833382,4.57716375852588
"43","Estes Park, Colorado",-105.521537699246,40.3699720174831,420,33.1081511866706,8868,33.0908306785949,8862,48,434,41.3851889833382,4.57716375852588
"44","Estes Park, Colorado",-105.521537699246,40.3699720174831,430,33.1081511866706,8868,33.0994909326327,8866,48,434,41.3851889833382,4.57716375852588
"45","Estes Park, Colorado",-105.521537699246,40.3699720174831,440,33.1081511866706,8868,33.1081511866706,8868,48,434,41.3851889833382,4.57716375852588
