"","from_id","to_id","travel_time_p50"
"1","26","1",2
"2","26","2",31
"3","26","3",33
"4","28","1",0
"5","28","2",29
"6","28","3",31
"7","30","1",2
"8","30","2",32
"9","30","3",34
"10","33","1",2
"11","33","2",32
"12","33","3",34
"13","65","1",3
"14","65","2",32
"15","65","3",34
"16","66","1",2
"17","66","2",31
"18","66","3",33
"19","68","1",1
"20","68","2",30
"21","68","3",33
"22","69","1",0
"23","69","2",29
"24","69","3",31
"25","70","1",0
"26","70","2",30
"27","70","3",32
"28","72","1",3
"29","72","2",32
"30","72","3",34
"31","117","1",2
"32","117","2",31
"33","117","3",34
"34","118","1",1
"35","118","2",30
"36","118","3",32
"37","120","1",0
"38","120","2",30
"39","120","3",32
"40","123","1",1
"41","123","2",30
"42","123","3",32
"43","175","1",1
"44","175","2",31
"45","175","3",33
"46","177","1",1
"47","177","2",30
"48","177","3",32
"49","181","1",1
"50","181","2",29
"51","181","3",32
"52","239","1",1
"53","239","2",30
"54","239","3",32
"55","306","1",3
"56","306","2",32
"57","306","3",34
"58","308","1",2
"59","308","2",32
"60","308","3",34
"61","309","1",2
"62","309","2",31
"63","309","3",33
"64","312","1",2
"65","312","2",31
"66","312","3",33
"67","387","1",3
"68","387","2",32
"69","387","3",34
"70","390","1",1
"71","390","2",30
"72","390","3",32
"73","391","1",2
"74","391","2",30
"75","391","3",32
"76","396","1",3
"77","396","2",31
"78","396","3",33
"79","478","1",3
"80","478","2",31
"81","478","3",33
"82","553","1",5
"83","553","2",31
"84","553","3",33
"85","555","1",5
"86","555","2",31
"87","555","3",33
"88","556","1",5
"89","556","2",32
"90","556","3",34
"91","557","1",6
"92","557","2",33
"93","557","3",35
"94","559","1",3
"95","559","2",30
"96","559","3",33
"97","573","1",4
"98","573","2",31
"99","573","3",33
"100","643","1",5
"101","643","2",32
"102","643","3",34
"103","652","1",2
"104","652","2",30
"105","652","3",32
"106","654","1",2
"107","654","2",29
"108","654","3",31
"109","738","1",5
"110","738","2",32
"111","738","3",34
"112","739","1",5
"113","739","2",31
"114","739","3",33
"115","741","1",5
"116","741","2",31
"117","741","3",34
"118","743","1",5
"119","743","2",32
"120","743","3",34
"121","745","1",3
"122","745","2",31
"123","745","3",33
"124","759","1",3
"125","759","2",31
"126","759","3",33
"127","839","1",5
"128","839","2",31
"129","839","3",33
"130","840","1",5
"131","840","2",31
"132","840","3",33
"133","841","1",5
"134","841","2",32
"135","841","3",34
"136","843","1",5
"137","843","2",31
"138","843","3",33
"139","940","1",7
"140","940","2",33
"141","940","3",35
"142","941","1",5
"143","941","2",31
"144","941","3",33
"145","942","1",4
"146","942","2",31
"147","942","3",33
"148","943","1",4
"149","943","2",30
"150","943","3",33
"151","945","1",5
"152","945","2",31
"153","945","3",33
"154","949","1",3
"155","949","2",31
"156","949","3",33
"157","951","1",4
"158","951","2",31
"159","951","3",33
"160","953","1",2
"161","953","2",30
"162","953","3",32
"163","1049","1",5
"164","1049","2",32
"165","1049","3",34
"166","1050","1",5
"167","1050","2",31
"168","1050","3",34
"169","1051","1",4
"170","1051","2",31
"171","1051","3",33
"172","1055","1",5
"173","1055","2",32
"174","1055","3",34
"175","1060","1",3
"176","1060","2",31
"177","1060","3",33
"178","1063","1",3
"179","1063","2",30
"180","1063","3",32
"181","1163","1",4
"182","1163","2",30
"183","1163","3",32
"184","1164","1",4
"185","1164","2",30
"186","1164","3",32
"187","1180","1",9
"188","1180","2",33
"189","1180","3",35
"190","1275","1",4
"191","1275","2",31
"192","1275","3",33
"193","1279","1",4
"194","1279","2",30
"195","1279","3",32
"196","1285","1",3
"197","1285","2",29
"198","1285","3",31
"199","1287","1",2
"200","1287","2",28
"201","1287","3",31
"202","1289","1",4
"203","1289","2",31
"204","1289","3",33
"205","1391","1",6
"206","1391","2",32
"207","1391","3",34
"208","1392","1",4
"209","1392","2",30
"210","1392","3",32
"211","1393","1",4
"212","1393","2",30
"213","1393","3",32
"214","1396","1",3
"215","1396","2",30
"216","1396","3",32
"217","1400","1",4
"218","1400","2",30
"219","1400","3",32
"220","1405","1",3
"221","1405","2",30
"222","1405","3",32
"223","1512","1",6
"224","1512","2",32
"225","1512","3",34
"226","1514","1",4
"227","1514","2",31
"228","1514","3",33
"229","1516","1",5
"230","1516","2",31
"231","1516","3",33
"232","1517","1",4
"233","1517","2",31
"234","1517","3",33
"235","1518","1",3
"236","1518","2",30
"237","1518","3",32
"238","1598","1",24
"239","1598","2",46
"240","1598","3",56
"241","1637","1",5
"242","1637","2",32
"243","1637","3",34
"244","1641","1",5
"245","1641","2",32
"246","1641","3",34
"247","1642","1",4
"248","1642","2",31
"249","1642","3",33
"250","1643","1",3
"251","1643","2",30
"252","1643","3",32
"253","1650","1",3
"254","1650","2",29
"255","1650","3",31
"256","1651","1",4
"257","1651","2",30
"258","1651","3",32
"259","1652","1",5
"260","1652","2",31
"261","1652","3",33
"262","1656","1",5
"263","1656","2",30
"264","1656","3",32
"265","1712","1",25
"266","1712","2",47
"267","1712","3",57
"268","1777","1",2
"269","1777","2",28
"270","1777","3",30
"271","1778","1",3
"272","1778","2",29
"273","1778","3",31
"274","1779","1",4
"275","1779","2",30
"276","1779","3",32
"277","1780","1",7
"278","1780","2",32
"279","1780","3",34
"280","1784","1",5
"281","1784","2",29
"282","1784","3",31
"283","1907","1",2
"284","1907","2",28
"285","1907","3",30
"286","1908","1",2
"287","1908","2",28
"288","1908","3",30
"289","1909","1",3
"290","1909","2",29
"291","1909","3",31
"292","1977","1",24
"293","1977","2",45
"294","1977","3",55
"295","2027","1",5
"296","2027","2",32
"297","2027","3",34
"298","2042","1",3
"299","2042","2",29
"300","2042","3",31
"301","2107","1",22
"302","2107","2",44
"303","2107","3",54
"304","2110","1",24
"305","2110","2",46
"306","2110","3",56
"307","2111","1",24
"308","2111","2",46
"309","2111","3",56
"310","2161","1",7
"311","2161","2",33
"312","2161","3",35
"313","2175","1",3
"314","2175","2",29
"315","2175","3",31
"316","2298","1",7
"317","2298","2",33
"318","2298","3",35
"319","2299","1",6
"320","2299","2",33
"321","2299","3",35
"322","2300","1",7
"323","2300","2",33
"324","2300","3",35
"325","2306","1",5
"326","2306","2",30
"327","2306","3",32
"328","2310","1",4
"329","2310","2",29
"330","2310","3",31
"331","2313","1",3
"332","2313","2",28
"333","2313","3",30
"334","2316","1",3
"335","2316","2",28
"336","2316","3",30
"337","2319","1",4
"338","2319","2",28
"339","2319","3",31
"340","2439","1",6
"341","2439","2",33
"342","2439","3",35
"343","2450","1",4
"344","2450","2",29
"345","2450","3",31
"346","2451","1",3
"347","2451","2",28
"348","2451","3",30
"349","2453","1",2
"350","2453","2",28
"351","2453","3",30
"352","2459","1",4
"353","2459","2",29
"354","2459","3",31
"355","2583","1",8
"356","2583","2",34
"357","2583","3",36
"358","2593","1",3
"359","2593","2",28
"360","2593","3",30
"361","2594","1",3
"362","2594","2",28
"363","2594","3",30
"364","2739","1",5
"365","2739","2",30
"366","2739","3",32
"367","2740","1",3
"368","2740","2",28
"369","2740","3",30
"370","2876","1",10
"371","2876","2",35
"372","2876","3",37
"373","2879","1",8
"374","2879","2",33
"375","2879","3",35
"376","2881","1",6
"377","2881","2",31
"378","2881","3",33
"379","2883","1",7
"380","2883","2",32
"381","2883","3",34
"382","2886","1",6
"383","2886","2",30
"384","2886","3",32
"385","2887","1",4
"386","2887","2",29
"387","2887","3",31
"388","2888","1",3
"389","2888","2",28
"390","2888","3",30
"391","2889","1",4
"392","2889","2",29
"393","2889","3",31
"394","2890","1",3
"395","2890","2",28
"396","2890","3",30
"397","3028","1",9
"398","3028","2",34
"399","3028","3",36
"400","3033","1",6
"401","3033","2",30
"402","3033","3",32
"403","3037","1",5
"404","3037","2",29
"405","3037","3",31
"406","3040","1",4
"407","3040","2",29
"408","3040","3",31
"409","3041","1",4
"410","3041","2",28
"411","3041","3",30
"412","3042","1",3
"413","3042","2",27
"414","3042","3",30
"415","3105","1",31
"416","3105","2",53
"417","3105","3",63
"418","3183","1",8
"419","3183","2",32
"420","3183","3",35
"421","3184","1",8
"422","3184","2",32
"423","3184","3",34
"424","3186","1",6
"425","3186","2",30
"426","3186","3",32
"427","3191","1",4
"428","3191","2",28
"429","3191","3",30
"430","3193","1",3
"431","3193","2",28
"432","3193","3",30
"433","3194","1",3
"434","3194","2",28
"435","3194","3",30
"436","3334","1",8
"437","3334","2",33
"438","3334","3",35
"439","3335","1",7
"440","3335","2",32
"441","3335","3",34
"442","3341","1",6
"443","3341","2",31
"444","3341","3",33
"445","3346","1",4
"446","3346","2",29
"447","3346","3",31
"448","3493","1",8
"449","3493","2",33
"450","3493","3",35
"451","3495","1",8
"452","3495","2",32
"453","3495","3",34
"454","3496","1",7
"455","3496","2",32
"456","3496","3",34
"457","3509","1",4
"458","3509","2",28
"459","3509","3",30
"460","3565","1",35
"461","3565","2",48
"462","3565","3",50
"463","3666","1",3
"464","3666","2",26
"465","3666","3",28
"466","3667","1",4
"467","3667","2",27
"468","3667","3",29
"469","3830","1",8
"470","3830","2",30
"471","3830","3",32
"472","3832","1",9
"473","3832","2",31
"474","3832","3",33
"475","3992","1",6
"476","3992","2",28
"477","3992","3",30
"478","3993","1",7
"479","3993","2",29
"480","3993","3",31
"481","4157","1",5
"482","4157","2",27
"483","4157","3",29
"484","4158","1",7
"485","4158","2",29
"486","4158","3",31
"487","4856","1",25
"488","4856","2",48
"489","4856","3",50
"490","5010","1",5
"491","5010","2",27
"492","5010","3",29
"493","5011","1",6
"494","5011","2",27
"495","5011","3",29
"496","5187","1",5
"497","5187","2",26
"498","5187","3",28
"499","5365","1",5
"500","5365","2",26
"501","5365","3",28
"502","5366","1",5
"503","5366","2",26
"504","5366","3",28
"505","6462","1",12
"506","6462","2",32
"507","6462","3",34
"508","6471","1",7
"509","6471","2",27
"510","6471","3",29
"511","6472","1",7
"512","6472","2",27
"513","6472","3",29
"514","6657","1",5
"515","6657","2",25
"516","6657","3",27
"517","6659","1",5
"518","6659","2",25
"519","6659","3",27
"520","6660","1",5
"521","6660","2",26
"522","6660","3",28
"523","6661","1",6
"524","6661","2",26
"525","6661","3",28
"526","6850","1",6
"527","6850","2",26
"528","6850","3",28
"529","7430","1",6
"530","7430","2",25
"531","7430","3",27
"532","7626","1",7
"533","7626","2",26
"534","7626","3",28
"535","8468","1",31
"536","8468","2",32
"537","8468","3",34
"538","9043","1",6
"539","9043","2",23
"540","9043","3",25
"541","9249","1",6
"542","9249","2",24
"543","9249","3",26
"544","9669","1",7
"545","9669","2",24
"546","9669","3",26
"547","9670","1",8
"548","9670","2",24
"549","9670","3",26
"550","10214","1",42
"551","10214","2",41
"552","10214","3",42
"553","10637","1",49
"554","10637","2",48
"555","10637","3",49
"556","11415","1",24
"557","11415","2",25
"558","11415","3",27
"559","11416","1",23
"560","11416","2",24
"561","11416","3",26
"562","11417","1",23
"563","11417","2",24
"564","11417","3",26
"565","11602","1",12
"566","11602","2",22
"567","11602","3",24
"568","11617","1",18
"569","11617","2",26
"570","11617","3",28
"571","11630","1",25
"572","11630","2",26
"573","11630","3",28
"574","11632","1",24
"575","11632","2",25
"576","11632","3",27
"577","11633","1",23
"578","11633","2",25
"579","11633","3",27
"580","11635","1",23
"581","11635","2",25
"582","11635","3",27
"583","11636","1",23
"584","11636","2",24
"585","11636","3",26
"586","11849","1",25
"587","11849","2",26
"588","11849","3",28
"589","11853","1",23
"590","11853","2",24
"591","11853","3",26
"592","12055","1",17
"593","12055","2",24
"594","12055","3",26
"595","12056","1",17
"596","12056","2",24
"597","12056","3",26
"598","12070","1",24
"599","12070","2",25
"600","12070","3",27
"601","12073","1",22
"602","12073","2",24
"603","12073","3",26
"604","12074","1",23
"605","12074","2",24
"606","12074","3",26
"607","12075","1",22
"608","12075","2",24
"609","12075","3",26
"610","12076","1",23
"611","12076","2",24
"612","12076","3",26
"613","12276","1",16
"614","12276","2",23
"615","12276","3",25
"616","12277","1",16
"617","12277","2",23
"618","12277","3",25
"619","12278","1",18
"620","12278","2",25
"621","12278","3",27
"622","12293","1",23
"623","12293","2",24
"624","12293","3",26
